emp_id,name,country,state,designation,year,annual_salary,annual_tax
EMP001,Sam,Australia,Queensland,Engineer,2025,48278,14401
EMP001,Sam,Australia,Queensland,Engineer,2026,50199,14974
EMP002,Leo,Australia,New South Wales,Engineer,2025,133696,39859
EMP002,Leo,Australia,New South Wales,Engineer,2026,140623,41924
EMP003,Mia,Australia,Queensland,Director,2025,49165,7667
EMP003,Mia,Australia,Queensland,Director,2026,51069,7964
EMP004,Max,Australia,Queensland,Specialist,2025,48478,12713
EMP004,Max,Australia,Queensland,Specialist,2026,51320,13458
EMP005,Ava,Australia,Queensland,Specialist,2025,99987,19406
EMP005,Ava,Australia,Queensland,Specialist,2026,105343,20445
EMP006,Ben,Australia,New South Wales,Manager,2025,136506,32013
EMP006,Ben,Australia,New South Wales,Manager,2026,142118,33329
EMP007,Zoe,Australia,New South Wales,Analyst,2025,58396,9842
EMP007,Zoe,Australia,New South Wales,Analyst,2026,60373,10175
EMP008,Ian,Australia,Victoria,Specialist,2025,79671,24811
EMP008,Ian,Australia,Victoria,Specialist,2026,84386,26279
EMP009,Eva,Australia,Queensland,Engineer,2025,94615,15683
EMP009,Eva,Australia,Queensland,Engineer,2026,98563,16337
EMP010,Jon,Australia,Queensland,Specialist,2025,92400,24529
EMP010,Jon,Australia,Queensland,Specialist,2026,97776,25956
EMP011,Ali,India,Maharashtra,Manager,2025,2221241,461746
EMP011,Ali,India,Maharashtra,Manager,2026,2294967,477072
EMP012,Jay,India,Maharashtra,Engineer,2025,1397182,287253
EMP012,Jay,India,Maharashtra,Engineer,2026,1474624,303174
EMP013,Joy,India,Delhi,Manager,2025,1376325,304242
EMP013,Joy,India,Delhi,Manager,2026,1454509,321525
EMP014,Roy,India,Karnataka,Engineer,2025,1877440,520042
EMP014,Roy,India,Karnataka,Engineer,2026,1973875,546754
EMP015,Amy,India,Maharashtra,Manager,2025,1569429,354520
EMP015,Amy,India,Maharashtra,Manager,2026,1678631,379187
EMP016,Dan,India,Karnataka,Specialist,2025,1060566,304300
EMP016,Dan,India,Karnataka,Specialist,2026,1128138,323688
EMP017,Fay,India,Maharashtra,Manager,2025,2323444,363433
EMP017,Fay,India,Maharashtra,Manager,2026,2422464,378921
EMP018,Ned,India,Delhi,Engineer,2025,1042463,346751
EMP018,Ned,India,Delhi,Engineer,2026,1097387,365020
